"","V1","V2","V3"
"1","Time","Arctic","Antarctica"
"2","1990M01","12.72","3.27"
"3","1990M02","13.33","2.15"
"4","1990M03","13.44","2.71"
"5","1990M04","12.16","5.1"
"6","1990M05","10.84","7.37"
"7","1990M06","9.12","10.26"
"8","1990M07","6.44","12.17"
"9","1990M08","4.92","13.95"
"10","1990M09","4.5","14.3"
"11","1990M10","6.67","13.71"
"12","1990M11","9.58","11.24"
"13","1990M12","11.4","6.56"
"14","1991M01","12.49","3.39"
"15","1991M02","13.15","2.01"
"16","1991M03","13.35","2.54"
"17","1991M04","12.79","5.1"
"18","1991M05","11.44","7.77"
"19","1991M06","9.6","9.87"
"20","1991M07","6.66","12.12"
"21","1991M08","5.14","13.96"
"22","1991M09","4.46","14.38"
"23","1991M10","7.7","13.7"
"24","1991M11","9.19","11.35"
"25","1991M12","11.19","6.48"
"26","1992M01","12.54","3.12"
"27","1992M02","13.51","1.79"
"28","1992M03","13.41","2.39"
"29","1992M04","12.76","4.91"
"30","1992M05","11.37","7.53"
"31","1992M06","9.89","9.9"
"32","1992M07","7.14","12.48"
"33","1992M08","5.35","14.08"
"34","1992M09","5.37","14.04"
"35","1992M10","7.69","13.76"
"36","1992M11","9.69","11.09"
"37","1992M12","11.66","6"
"38","1993M01","12.85","2.43"
"39","1993M02","13.54","1.3"
"40","1993M03","13.71","2.15"
"41","1993M04","12.95","4.82"
"42","1993M05","11.35","7.8"
"43","1993M06","9.2","10.28"
"44","1993M07","6.17","12.63"
"45","1993M08","4.65","13.83"
"46","1993M09","4.52","14.62"
"47","1993M10","6.98","14.09"
"48","1993M11","9.49","11.72"
"49","1993M12","11.41","6.49"
"50","1994M01","12.8","3.26"
"51","1994M02","13.46","2.17"
"52","1994M03","13.47","3.13"
"53","1994M04","12.84","5.38"
"54","1994M05","11.6","8.12"
"55","1994M06","9.62","10.63"
"56","1994M07","6.85","13.03"
"57","1994M08","5.1","14.39"
"58","1994M09","5.08","14.52"
"59","1994M10","7.17","13.98"
"60","1994M11","9.64","11.65"
"61","1994M12","11.43","6.95"
"62","1995M01","12.72","3.62"
"63","1995M02","13.3","2.12"
"64","1995M03","13.28","2.74"
"65","1995M04","12.32","5.35"
"66","1995M05","10.76","8.23"
"67","1995M06","8.86","10.37"
"68","1995M07","6.05","12.47"
"69","1995M08","4.61","14.16"
"70","1995M09","4.38","14.42"
"71","1995M10","5.91","13.47"
"72","1995M11","8.95","11.38"
"73","1995M12","11.02","7.03"
"74","1996M01","12.07","3.43"
"75","1996M02","12.9","1.69"
"76","1996M03","12.83","2.56"
"77","1996M04","12.23","5.28"
"78","1996M05","11.22","8.57"
"79","1996M06","9.78","11"
"80","1996M07","7.36","12.79"
"81","1996M08","5.65","13.8"
"82","1996M09","5.58","14.45"
"83","1996M10","7.49","13.85"
"84","1996M11","8.7","11.14"
"85","1996M12","10.96","6.04"
"86","1997M01","12.3","2.65"
"87","1997M02","13.36","1.66"
"88","1997M03","13.24","2.23"
"89","1997M04","12.48","4.76"
"90","1997M05","11.17","7.82"
"91","1997M06","9.14","10.12"
"92","1997M07","6.41","12.66"
"93","1997M08","5.03","14"
"94","1997M09","4.84","14.49"
"95","1997M10","6.39","14.01"
"96","1997M11","9","11.49"
"97","1997M12","11.19","6.84"
"98","1998M01","12.73","2.91"
"99","1998M02","13.7","1.81"
"100","1998M03","13.5","2.64"
"101","1998M04","12.77","5.03"
"102","1998M05","11.35","7.82"
"103","1998M06","9.11","10.25"
"104","1998M07","6.38","12.56"
"105","1998M08","4.61","13.98"
"106","1998M09","4.24","14.76"
"107","1998M10","6.65","14.45"
"108","1998M11","8.82","11.76"
"109","1998M12","10.85","6.61"
"110","1999M01","12.54","2.99"
"111","1999M02","13.38","1.7"
"112","1999M03","13.47","2.51"
"113","1999M04","13.08","5.05"
"114","1999M05","11.61","7.99"
"115","1999M06","9.18","10.74"
"116","1999M07","6.49","12.97"
"117","1999M08","4.67","14.15"
"118","1999M09","4.22","14.53"
"119","1999M10","6.77","14.13"
"120","1999M11","9.21","11.4"
"121","1999M12","10.93","6.62"
"122","2000M01","12.22","2.79"
"123","2000M02","13.02","1.63"
"124","2000M03","13.1","2.6"
"125","2000M04","12.51","5.23"
"126","2000M05","11.18","8.47"
"127","2000M06","8.99","10.95"
"128","2000M07","6.31","12.89"
"129","2000M08","4.71","14.55"
"130","2000M09","4.31","14.98"
"131","2000M10","6.64","14.16"
"132","2000M11","8.81","11.71"
"133","2000M12","10.9","6.77"
"134","2001M01","12.27","3.55"
"135","2001M02","13.14","2.38"
"136","2001M03","13.57","3.3"
"137","2001M04","12.99","5.22"
"138","2001M05","11.32","7.92"
"139","2001M06","9.01","10.47"
"140","2001M07","6.22","12.49"
"141","2001M08","4.87","13.66"
"142","2001M09","4.55","14.27"
"143","2001M10","6.59","13.24"
"144","2001M11","9.02","10.88"
"145","2001M12","10.49","6.16"
"146","2002M01","12.19","2.81"
"147","2002M02","13.36","1.75"
"148","2002M03","13.36","2.29"
"149","2002M04","12.35","4.49"
"150","2002M05","11.11","7.09"
"151","2002M06","9.13","9.6"
"152","2002M07","6.34","12.42"
"153","2002M08","4.23","13.65"
"154","2002M09","3.98","14"
"155","2002M10","6.2","13.73"
"156","2002M11","8.69","11.55"
"157","2002M12","10.58","7.47"
"158","2003M01","12.21","4.01"
"159","2003M02","13.16","2.6"
"160","2003M03","13.36","3.16"
"161","2003M04","12.38","5.48"
"162","2003M05","10.82","8.35"
"163","2003M06","9.05","11.07"
"164","2003M07","6.06","13.08"
"165","2003M08","4.44","13.66"
"166","2003M09","4.01","14.05"
"167","2003M10","5.93","13.78"
"168","2003M11","8.5","11.36"
"169","2003M12","10.74","7.03"
"170","2004M01","12.19","3.69"
"171","2004M02","12.87","2.28"
"172","2004M03","12.93","3.1"
"173","2004M04","12.08","5.33"
"174","2004M05","10.86","8.09"
"175","2004M06","9.18","10.8"
"176","2004M07","6.43","13.07"
"177","2004M08","4.57","14.15"
"178","2004M09","4.35","14.51"
"179","2004M10","6.35","14.03"
"180","2004M11","8.9","11.94"
"181","2004M12","10.91","6.76"
"182","2005M01","11.84","3.02"
"183","2005M02","12.27","1.91"
