"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","faminc","cigtax","cigprice","bwght","fatheduc","motheduc","parity","male","white","cigs","lbwght","bwghtlbs","packs","lfaminc"
"2","13.5","16.5","122.3","109","12","12","1","1","1","0","4.691348","6.8125","0","2.60269"
"3","7.5","16.5","122.3","133","6","12","2","1","0","0","4.890349","8.3125","0","2.014903"
"4",".5","16.5","122.3","129","","12","2","0","0","0","4.859812","8.0625","0","-.6931472"
"5","15.5","16.5","122.3","126","12","12","2","1","0","0","4.836282","7.875","0","2.74084"
"6","27.5","16.5","122.3","134","14","12","2","1","1","0","4.89784","8.375","0","3.314186"
"7","7.5","16.5","122.3","118","12","14","6","1","0","0","4.770685","7.375","0","2.014903"
"8","65","16.5","122.3","140","16","14","2","0","1","0","4.941642","8.75","0","4.174387"
"9","27.5","16.5","122.3","86","12","14","2","0","0","0","4.454347","5.375","0","3.314186"
"10","27.5","16.5","122.3","121","12","17","2","0","1","0","4.795791","7.5625","0","3.314186"
"11","37.5","16.5","122.3","129","16","18","2","0","1","0","4.859812","8.0625","0","3.624341"
"12","27.5","16.5","122.3","101","12","16","2","1","0","0","4.61512","6.3125","0","3.314186"
"13","27.5","16.5","122.3","133","16","15","1","1","1","0","4.890349","8.3125","0","3.314186"
"14","6.5","16.5","122.3","61","","12","3","1","0","0","4.110874","3.8125","0","1.871802"
"15","10.5","16.5","122.3","104","12","12","1","1","1","0","4.644391","6.5","0","2.351375"
"16","12.5","16.5","122.3","92","7","12","1","1","0","0","4.521789","5.75","0","2.525729"
"17","17.5","16.5","122.3","122","13","13","1","1","1","0","4.804021","7.625","0","2.862201"
"18","42.5","16.5","122.3","159","18","16","1","1","1","0","5.068904","9.9375","0","3.749504"
"19","4.5","16.5","122.3","154","","11","1","0","0","0","5.036952","9.625","0","1.504077"
"20","32.5","16.5","122.3","120","16","16","1","1","0","0","4.787492","7.5","0","3.48124"
"21","6.5","16.5","122.3","138","","11","2","0","0","0","4.927254","8.625","0","1.871802"
"22","47.5","16.5","122.3","127","16","17","1","0","1","0","4.844187","7.9375","0","3.86073"
"23","22.5","16.5","122.3","107","12","12","2","1","1","0","4.672829","6.6875","0","3.113515"
"24","15.5","16.5","122.3","129","8","11","2","1","1","6","4.859812","8.0625",".3","2.74084"
"25","13.5","16.5","122.3","129","12","12","1","0","0","0","4.859812","8.0625","0","2.60269"
"26","37.5","16.5","122.3","156","11","11","1","0","1","0","5.049856","9.75","0","3.624341"
"27","2.5","16.5","122.3","124","11","12","2","1","0","0","4.820282","7.75","0",".9162908"
"28","2.5","16.5","122.3","79","","12","2","1","0","0","4.369448","4.9375","0",".9162908"
"29","32.5","16.5","122.3","112","12","12","2","1","1","0","4.718499","7","0","3.48124"
"30","22.5","16.5","122.3","124","12","12","1","1","1","0","4.820282","7.75","0","3.113515"
"31",".5","15","125.6","134","","12","2","1","0","0","4.89784","8.375","0","-.6931472"
"32","65","15","125.6","114","12","12","1","0","1","0","4.736198","7.125","0","4.174387"
"33","65","15","125.6","124","16","13","1","1","1","0","4.820282","7.75","0","4.174387"
"34","65","15","125.6","122","16","16","2","1","1","0","4.804021","7.625","0","4.174387"
"35","27.5","15","125.6","104","11","10","2","0","0","0","4.644391","6.5","0","3.314186"
"36","7.5","15","125.6","105","5","8","3","0","1","0","4.65396","6.5625","0","2.014903"
"37","47.5","15","125.6","113","16","16","2","1","1","0","4.727388","7.0625","0","3.86073"
"38","65","15","125.6","131","12","12","2","1","1","0","4.875197","8.1875","0","4.174387"
"39","65","15","125.6","107","16","14","1","0","1","0","4.672829","6.6875","0","4.174387"
"40","32.5","15","125.6","115","12","9","1","1","1","0","4.744932","7.1875","0","3.48124"
"41","13.5","15","125.6","97","10","13","3","0","0","0","4.574711","6.0625","0","2.60269"
"42","65","15","125.6","106","12","12","1","1","1","0","4.663439","6.625","0","4.174387"
"43","47.5","15","125.6","132","15","12","1","1","1","0","4.882802","8.25","0","3.86073"
"44","37.5","15","125.6","108","18","16","1","1","1","0","4.682131","6.75","0","3.624341"
"45","32.5","15","125.6","114","16","14","1","1","0","0","4.736198","7.125","0","3.48124"
"46","18.5","15","125.6","134","14","12","1","1","1","0","4.89784","8.375","0","2.917771"
"47","65","15","125.6","134","18","16","1","0","0","0","4.89784","8.375","0","4.174387"
"48","65","15","125.6","141","18","16","1","1","1","0","4.94876","8.8125","0","4.174387"
"49","11.5","15","125.6","84","12","12","1","1","1","0","4.430817","5.25","0","2.442347"
"50","32.5","15","125.6","88","13","13","3","1","0","0","4.477337","5.5","0","3.48124"
"51","65","15","125.6","130","16","18","1","1","1","0","4.867535","8.125","0","4.174387"
"52","17.5","15","125.6","132","12","12","2","1","0","0","4.882802","8.25","0","2.862201"
"53","16.5","15","125.6","133","13","13","1","1","1","0","4.890349","8.3125","0","2.80336"
"54","22.5","15","125.6","108","12","12","2","0","1","0","4.682131","6.75","0","3.113515"
"55","42.5","15","125.6","92","16","14","2","0","1","0","4.521789","5.75","0","3.749504"
"56","32.5","15","125.6","127","12","14","2","1","1","0","4.844187","7.9375","0","3.48124"
